PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
103	LOCATION	the lake the garden	boy;kettle-drum;whence;fiddle;music;castle;side	beautiful;other;lively	come;see;illuminate;trumpet	6.14866666667	4.39266666667	5.84666666667	On the other side of the lake the garden boy saw a beautiful castle splendidly illuminated, whence came the lively music of fiddles, kettle-drums, and trumpets.
104	LOCATION	the castle	princess;land;barque;company;arm;moment;prince;boat		give;jump;have;conduct;touch;fasten	6.144	4.26266666667	5.77933333333	In a moment they touched land, and the company jumped out of the boats; and the princes, after having securely fastened their barques, gave their arms to the princesses and conducted them to the castle.
108	PERSON	Princess	eye;velvet;princess;time	beautiful;many;little;fascinating;cow-boy	be;see;think	6.65466666667	4.19866666667	5.716	Never were so many beautiful princesses seen together at one time, but the one whom the cow-boy thought the most beautiful and the most fascinating was the little Princess with the velvet eyes.
114	PERSON	Lina	noise;breaking;branch		turn;make;hear	5.346	3.838	5.838	Lina turned as she heard the noise made by the breaking of the branch.
116	LOCATION	the castle	nothing;turret;sister;screech;barn-owl	eldest	be;roost;reply	5.69222222222	4.02555555556	5.74333333333	"It was nothing," replied her eldest sister; "it was only the screech of the barn-owl that roosts in one of the turrets of the castle."
117	LOCATION	the window	sun;work;vine;time	open	be;begin;set;fling;rise;slide;climb;find	6.00294117647	3.72764705882	5.62294117647	He flung open the window, and sliding down the vine which climbed up the wall, found himself in the garden just as the sun was beginning to rise, and it was time for him to set to his work.
117	LOCATION	the wall	sun;work;vine;time	open	be;begin;set;fling;rise;slide;climb;find	6.00294117647	3.72764705882	5.62294117647	He flung open the window, and sliding down the vine which climbed up the wall, found himself in the garden just as the sun was beginning to rise, and it was time for him to set to his work.
117	LOCATION	the garden	sun;work;vine;time	open	be;begin;set;fling;rise;slide;climb;find	6.00294117647	3.72764705882	5.62294117647	He flung open the window, and sliding down the vine which climbed up the wall, found himself in the garden just as the sun was beginning to rise, and it was time for him to set to his work.
119	PERSON	Michael	bouquet;nosegay;silver;branch	youngest	intend;make;drop;hide	6.03	3.81	5.68	That day, when he made up the bouquets, Michael hid the branch with the silver drops in the nosegay intended for the youngest Princess.
119	PERSON	Princess	bouquet;nosegay;silver;branch	youngest	intend;make;drop;hide	6.03	3.81	5.68	That day, when he made up the bouquets, Michael hid the branch with the silver drops in the nosegay intended for the youngest Princess.
120	PERSON	the boy	sister;accident;way;elm;mind;shade;nothing		be;stop;walk;say;go;meet;alter;speak	5.78066666667	3.932	5.50933333333	However, she said nothing to her sisters, but as she met the boy by accident while she was walking under the shade of the elms, she suddenly stopped as if to speak to him; then, altering her mind, went on her way.
121	PERSON	Prince	boat;time	heavy	be;seem;complain	5.27285714286	4.01571428571	4.72571428571	This time it was the Prince who complained that the boat seemed very heavy.
124	PERSON	Michael	noise;leaf;breaking;branch	gold-spangled;eldest	hear;be;make;gather;come	5.68333333333	3.83083333333	5.73166666667	As they came back, Michael gathered a branch from the wood with the gold-spangled leaves, and now it was the eldest Princess who heard the noise that it made in breaking.
124	LOCATION	the wood	noise;leaf;breaking;branch	gold-spangled;eldest	hear;be;make;gather;come	5.68333333333	3.83083333333	5.73166666667	As they came back, Michael gathered a branch from the wood with the gold-spangled leaves, and now it was the eldest Princess who heard the noise that it made in breaking.
124	PERSON	Princess	noise;leaf;breaking;branch	gold-spangled;eldest	hear;be;make;gather;come	5.68333333333	3.83083333333	5.73166666667	As they came back, Michael gathered a branch from the wood with the gold-spangled leaves, and now it was the eldest Princess who heard the noise that it made in breaking.
125	PERSON	Lina	nothing;owl;cry;roost;turret		be;say	5.39142857143	4.31857142857	5.40428571429	"It is nothing," said Lina; "only the cry of the owl which roosts in the turrets of the castle."
125	LOCATION	the castle	nothing;owl;cry;roost;turret		be;say	5.39142857143	4.31857142857	5.40428571429	"It is nothing," said Lina; "only the cry of the owl which roosts in the turrets of the castle."
128	PERSON	Michael	royal;highness		answer;know	5.955	4.06	6.2	"Your Royal Highness knows well enough," answered Michael.
130	PERSON	Princess				7.64	5.42	5.74	"Yes, Princess."
133	PERSON	Princess	moment	silent	be;say	5.995	4.25666666667	5.95166666667	The Princess was silent a moment, and then said:
134	PERSON	the boy	purse;gold		fling	5.95	4.724	5.616	And she flung the boy a purse of gold.
135	PERSON	Michael	purse;silence		sell;do;answer;go;pick	5.65875	4.00375	5.79875	"I do not sell my silence," answered Michael, and he went away without picking up the purse.
139	PERSON	Princess			answer;know	6.39	4.415	5.6175	"I know, Princess," answered Michael.
139	PERSON	Michael			answer;know	6.39	4.415	5.6175	"I know, Princess," answered Michael.
143	PERSON	Princess				7.64	5.42	5.74	"No, Princess."
145	PERSON	Michael		silent	be	5.66	3.32	6.045	But Michael was silent.
147	PERSON	Lina	talking;s;boy;sister;garden	little	see;jeer;have	6.16142857143	4.04285714286	5.58857142857	Lina"s sisters had seen her talking to the little garden boy, and jeered at her for it.
148	LOCATION	the park	cottage;water;end;bouquet;husband		draw;bring;live;help;get	6.44083333333	3.88166666667	5.815	You could live in a cottage at the end of the park, and help your husband to draw up water from the well, and when we get up you could bring us our bouquets."
148	LOCATION	the well	cottage;water;end;bouquet;husband		draw;bring;live;help;get	6.44083333333	3.88166666667	5.815	You could live in a cottage at the end of the park, and help your husband to draw up water from the well, and when we get up you could bring us our bouquets."
149	PERSON	Princess Lina	bouquet;gazer;star;manner	angry;disdainful	receive;be;present	5.847	4.622	5.53	The Princess Lina was very angry, and when the Star Gazer presented her bouquet, she received it in a disdainful manner.
154	LOCATION	the tower	dungeon;course		take;have	4.86	4.2575	4.92	"Why, by having him taken to the tower with the dungeons, of course."
155	LOCATION	the way	people;princess;time	beautiful;rid;much;old	be;know;get	5.872	4.019	5.447	For this was the way that in old times beautiful princesses got rid of people who knew too much.
159	PERSON	Michael	ball;end;philtre;rest;supper;test	last	be;give;take;decide;put;enchant	6.10733333333	3.732	5.51933333333	At last it was decided that Michael should be put to the test; that they would take him to the ball, and at the end of supper would give him the philtre which was to enchant him like the rest.
167	PERSON	Michael	diamond;eye;aigrette;blossom;rose;cap;button-hole;moment;laurel;velvet	little;black	be;gather;find;match;clothe	5.98210526316	4.15473684211	5.63052631579	Michael gathered it, and found himself in a moment clothed in velvet, which was as black as the eyes of the little Princess, with a cap to match, a diamond aigrette, and a blossom of the rose laurel in his button-hole.
167	PERSON	Princess	diamond;eye;aigrette;blossom;rose;cap;button-hole;moment;laurel;velvet	little;black	be;gather;find;match;clothe	5.98210526316	4.15473684211	5.63052631579	Michael gathered it, and found himself in a moment clothed in velvet, which was as black as the eyes of the little Princess, with a cap to match, a diamond aigrette, and a blossom of the rose laurel in his button-hole.
170	PERSON	Michael	signal;door;departure	open	follow;give;wait	5.42714285714	3.89571428571	5.75	Michael followed them, and waited behind the open door till they gave the signal for departure.
173	LOCATION	the summit	wish;prince		be;treat	6.21111111111	4.17444444444	5.53111111111	"Here you are at the summit of your wishes: you are being treated like a prince."
175	PERSON	Princess	answer;face	little;frightened	stare;leave;wait	5.214	4.66	5.304	The little Princess stared at him with a frightened face, and he left her without waiting for an answer.
176	PERSON	Michael	sister	youngest;opposite;eldest;next	be;place	5.9525	3.56	5.6425	Michael was placed next to the eldest sister, and opposite to the youngest.
182	PERSON	Princess	glance;hesitation;cup	little	cast;lift;linger	5.48888888889	4.04333333333	5.23222222222	He cast a lingering glance at the little Princess, and without hesitation lifted the cup.
183	PERSON	Princess	gardener	little	marry;cry	5.765	4.66875	5.2325	suddenly cried out the little Princess; "I would rather marry a gardener."
186	LOCATION	the door	castle;wood;noise;passage	enchanted;great	be;crumble;hear;have;pass;go	5.81833333333	4.15666666667	5.64111111111	Then they all went through the three woods, and when they had passed the door of the underground passage a great noise was heard, as if the enchanted castle was crumbling to the earth.
186	LOCATION	the underground	castle;wood;noise;passage	enchanted;great	be;crumble;hear;have;pass;go	5.81833333333	4.15666666667	5.64111111111	Then they all went through the three woods, and when they had passed the door of the underground passage a great noise was heard, as if the enchanted castle was crumbling to the earth.
186	LOCATION	the earth	castle;wood;noise;passage	enchanted;great	be;crumble;hear;have;pass;go	5.81833333333	4.15666666667	5.64111111111	Then they all went through the three woods, and when they had passed the door of the underground passage a great noise was heard, as if the enchanted castle was crumbling to the earth.
187	PERSON	Michael	secret;cup;shoe;hole;hand	golden	reveal;hold	6.00375	3.81125	5.565	Michael held in his hand the golden cup, and he revealed the secret of the holes in the shoes.
189	LOCATION	the garden	boy;hand;eye;choice	youngest	be;lower;offer;make;reply;blush	6.36636363636	3.88181818182	5.81363636364	"My choice is already made," replied the garden boy, and he offered his hand to the youngest Princess, who blushed and lowered her eyes.
189	PERSON	Princess	boy;hand;eye;choice	youngest	be;lower;offer;make;reply;blush	6.36636363636	3.88181818182	5.81363636364	"My choice is already made," replied the garden boy, and he offered his hand to the youngest Princess, who blushed and lowered her eyes.
191	PERSON	Princess Lina	ceremony;star;wife;secret;gazer;s;contrary;lover;marriage;gardener		do;be;discover;insist;become;come;tell	6.12727272727	4.51681818182	5.69681818182	The Princess Lina did not become a gardener"s wife; on the contrary, it was the Star Gazer who became a Prince: but before the marriage ceremony the Princess insisted that her lover should tell her how he came to discover the secret.
191	PERSON	Prince	ceremony;star;wife;secret;gazer;s;contrary;lover;marriage;gardener		do;be;discover;insist;become;come;tell	6.12727272727	4.51681818182	5.69681818182	The Princess Lina did not become a gardener"s wife; on the contrary, it was the Star Gazer who became a Prince: but before the marriage ceremony the Princess insisted that her lover should tell her how he came to discover the secret.
191	PERSON	Princess	ceremony;star;wife;secret;gazer;s;contrary;lover;marriage;gardener		do;be;discover;insist;become;come;tell	6.12727272727	4.51681818182	5.69681818182	The Princess Lina did not become a gardener"s wife; on the contrary, it was the Star Gazer who became a Prince: but before the marriage ceremony the Princess insisted that her lover should tell her how he came to discover the secret.
192	LOCATION	the country	girl;singing		go;be	6.4475	4.3075	5.6125	And this is why the country girls go about singing:
198	PERSON	MAYBLOSSOM	princess			7.64	5.42	5.74	THE PRINCESS MAYBLOSSOM
199	PERSON	Queen	world;palace;wood;half;corner;nurse	shady;whole	appoint;be;crowd;offer;sit;bring;see;come;declare	5.66346153846	3.88538461538	5.51153846154	So on the appointed day the whole palace was crowded with nurses, who came from the four corners of the world to offer themselves, until the Queen declared that if she was ever to see the half of them, they must be brought out to her, one by one, as she sat in a shady wood near the palace.
199	LOCATION	the palace	world;palace;wood;half;corner;nurse	shady;whole	appoint;be;crowd;offer;sit;bring;see;come;declare	5.66346153846	3.88538461538	5.51153846154	So on the appointed day the whole palace was crowded with nurses, who came from the four corners of the world to offer themselves, until the Queen declared that if she was ever to see the half of them, they must be brought out to her, one by one, as she sat in a shady wood near the palace.
200	PERSON	the King			see;cry	4.46	4.69333333333	4.25333333333	When the King saw this he cried:
201	PERSON	Fairy	porridge;boy;grudge;fun;carabosse;sulphur	other	put;be;ruin;have	5.49	4.17684210526	5.51631578947	now we are ruined indeed, for that was no other than the Fairy Carabosse, who has had a grudge against me ever since I was a boy and put sulphur into her porridge one day for fun."
202	PERSON	Queen			begin;cry	5.39333333333	4.45	4.77333333333	Then the Queen began to cry.
204	PERSON	The King	misfortune;council	sorry;little	be;avert;do;propose;bring;have;frighten;go;hold;mean	5.31157894737	4.32052631579	5.19631578947	The King was sorry to have frightened her so much, and proposed that they should go and hold a council as to what was best to be done to avert the misfortunes which Carabosse certainly meant to bring upon the little Princess.
204	PERSON	Princess	misfortune;council	sorry;little	be;avert;do;propose;bring;have;frighten;go;hold;mean	5.31157894737	4.32052631579	5.19631578947	The King was sorry to have frightened her so much, and proposed that they should go and hold a council as to what was best to be done to avert the misfortunes which Carabosse certainly meant to bring upon the little Princess.
205	LOCATION	the palace	ceremony;affair;head;door;league;counsellor;secret;christening;case;window;keyhole;time;carabosse;fairy;round	profound	be;shut;decide;attend;overhear;summon;stuff;take;have;keep;talk;invite	5.75942857143	4.02742857143	5.67542857143	So all the counsellors were summoned to the palace, and when they had shut every door and window, and stuffed up every keyhole that they might not be overheard, they talked the affair over, and decided that every fairy for a thousand leagues round should be invited to the christening of the Princess, and that the time of the ceremony should be kept a profound secret, in case the Fairy Carabosse should take it into her head to attend it.
205	PERSON	Princess	ceremony;affair;head;door;league;counsellor;secret;christening;case;window;keyhole;time;carabosse;fairy;round	profound	be;shut;decide;attend;overhear;summon;stuff;take;have;keep;talk;invite	5.75942857143	4.02742857143	5.67542857143	So all the counsellors were summoned to the palace, and when they had shut every door and window, and stuffed up every keyhole that they might not be overheard, they talked the affair over, and decided that every fairy for a thousand leagues round should be invited to the christening of the Princess, and that the time of the ceremony should be kept a profound secret, in case the Fairy Carabosse should take it into her head to attend it.
205	PERSON	Fairy	ceremony;affair;head;door;league;counsellor;secret;christening;case;window;keyhole;time;carabosse;fairy;round	profound	be;shut;decide;attend;overhear;summon;stuff;take;have;keep;talk;invite	5.75942857143	4.02742857143	5.67542857143	So all the counsellors were summoned to the palace, and when they had shut every door and window, and stuffed up every keyhole that they might not be overheard, they talked the affair over, and decided that every fairy for a thousand leagues round should be invited to the christening of the Princess, and that the time of the ceremony should be kept a profound secret, in case the Fairy Carabosse should take it into her head to attend it.
206	LOCATION	the chimney	anything;everything;soot;matter;mouth;time;carabosse;nightingale	beautiful;tremendous	be;come;explain;cry;cover;rumble;succeed;understand;undertake;sing;hear;promise;open;roll;speak	5.8971875	4.05625	5.6221875	One promised that she should be perfectly beautiful, the second that she should understand anything--no matter what--the first time it was explained to her, the third that she should sing like a nightingale, the fourth that she should succeed in everything she undertook, and the fifth was opening her mouth to speak when a tremendous rumbling was heard in the chimney, and Carabosse, all covered with soot, came rolling down, crying:
210	PERSON	the King			say	6.14333333333	4.64333333333	6.15	Often the King said to the Queen:
210	PERSON	Queen			say	6.14333333333	4.64333333333	6.15	Often the King said to the Queen:
212	PERSON	Princess	ambassador;description;procession;everything;splendour;news;nurse	wild;concerned	do;repeat;give;be;keep;inform;see;enter;go;fail	5.68	4.29347826087	5.62260869565	The nurse, who kept the Princess informed of everything that went forward in the town, did not fail to repeat the news that so nearly concerned her, and gave such a description of the splendour in which the ambassador Fanfaronade would enter the town, that the Princess was wild to see the procession for herself.
212	LOCATION	the town	ambassador;description;procession;everything;splendour;news;nurse	wild;concerned	do;repeat;give;be;keep;inform;see;enter;go;fail	5.68	4.29347826087	5.62260869565	The nurse, who kept the Princess informed of everything that went forward in the town, did not fail to repeat the news that so nearly concerned her, and gave such a description of the splendour in which the ambassador Fanfaronade would enter the town, that the Princess was wild to see the procession for herself.
212	PERSON	Fanfaronade	ambassador;description;procession;everything;splendour;news;nurse	wild;concerned	do;repeat;give;be;keep;inform;see;enter;go;fail	5.68	4.29347826087	5.62260869565	The nurse, who kept the Princess informed of everything that went forward in the town, did not fail to repeat the news that so nearly concerned her, and gave such a description of the splendour in which the ambassador Fanfaronade would enter the town, that the Princess was wild to see the procession for herself.
212	LOCATION	the town	ambassador;description;procession;everything;splendour;news;nurse	wild;concerned	do;repeat;give;be;keep;inform;see;enter;go;fail	5.68	4.29347826087	5.62260869565	The nurse, who kept the Princess informed of everything that went forward in the town, did not fail to repeat the news that so nearly concerned her, and gave such a description of the splendour in which the ambassador Fanfaronade would enter the town, that the Princess was wild to see the procession for herself.
212	PERSON	Princess	ambassador;description;procession;everything;splendour;news;nurse	wild;concerned	do;repeat;give;be;keep;inform;see;enter;go;fail	5.68	4.29347826087	5.62260869565	The nurse, who kept the Princess informed of everything that went forward in the town, did not fail to repeat the news that so nearly concerned her, and gave such a description of the splendour in which the ambassador Fanfaronade would enter the town, that the Princess was wild to see the procession for herself.
213	PERSON	the King	picture;horse;star;monkey;sun;lion	free	be;set;amuse;say;keep;see;let;have;believe;tell;mean	5.82484848485	4.40090909091	5.49454545455	I have never seen the sun, or the stars, or a horse, or a monkey, or a lion, except in pictures, and though the King and Queen tell me I am to be set free when I am twenty, I believe they only say it to keep me amused, when they never mean to let me out at all."
213	PERSON	Queen	picture;horse;star;monkey;sun;lion	free	be;set;amuse;say;keep;see;let;have;believe;tell;mean	5.82484848485	4.40090909091	5.49454545455	I have never seen the sun, or the stars, or a horse, or a monkey, or a lion, except in pictures, and though the King and Queen tell me I am to be set free when I am twenty, I believe they only say it to keep me amused, when they never mean to let me out at all."
214	PERSON	Fanfaronade	entry;s;death;means	grand	starve;do;declare;see;let;find	5.1375	4.0425	5.50833333333	So she declared that she would starve herself to death if they did not find some means of letting her see Fanfaronade"s grand entry into the town.
214	LOCATION	the town	entry;s;death;means	grand	starve;do;declare;see;let;find	5.1375	4.0425	5.50833333333	So she declared that she would starve herself to death if they did not find some means of letting her see Fanfaronade"s grand entry into the town.
215	PERSON	the King	anything	other	need;say;manage;love;know	5.914	4.11	5.87	"If you really love me," she said, "you will manage it, somehow or other, and the King and Queen need never know anything about it."
215	PERSON	Queen	anything	other	need;say;manage;love;know	5.914	4.11	5.87	"If you really love me," she said, "you will manage it, somehow or other, and the King and Queen need never know anything about it."
